boundary,test_start,test_end,n_train,n_test,families_present,api_macro_f1,trailing_mean_macro_f1,drop_from_trailing_mean,floor_trigger,drop_trigger,trigger,trigger_reason,retrain_recommended
2018-06-01,2018-06-01,2018-07-01,8753,1519,8,0.8155361381752463,,,False,False,False,,False
2018-07-01,2018-07-01,2018-07-31,10272,1223,9,0.8144446008945307,,,False,False,False,,False
2018-07-31,2018-07-31,2018-08-30,11495,1174,8,0.8240866260825213,,,False,False,False,,False
2018-08-30,2018-08-30,2018-09-29,12669,1605,9,0.6696110307050376,0.8180224550507661,-0.14841142434572852,True,True,True,floor+trailing_mean_drop,True
2018-09-29,2018-09-29,2018-10-29,14274,1701,10,0.8744731369514133,0.7693807525606965,0.10509238439071678,False,False,False,,False
2018-10-29,2018-10-29,2018-11-28,15975,1752,10,0.9289462099308315,0.7893902645796573,0.13955594535117422,False,False,False,,False
2018-11-28,2018-11-28,2018-12-28,17727,2169,10,0.8840294995865138,0.8243434591957608,0.05968604039075298,False,False,False,,False
2018-12-28,2018-12-28,2019-01-27,19896,2414,10,0.891557148838652,0.8958162821562529,-0.0042591333176008606,False,False,False,,False
2019-01-27,2019-01-27,2019-02-26,22310,2449,10,0.9113618689745016,0.9015109527853324,0.009850916189169112,False,False,False,,False
2019-02-26,2019-02-26,2019-03-28,24759,3000,10,0.6919521584108598,0.8956495057998891,-0.20369734738902934,True,True,True,floor+trailing_mean_drop,True
2019-03-28,2019-03-28,2019-04-27,27759,2810,10,0.7323249411366086,0.8316237254080044,-0.09929878427139582,True,False,True,floor,False
2019-04-27,2019-04-27,2019-05-27,30569,2868,10,0.6845143790998036,0.7785463228406565,-0.09403194374085289,True,False,True,floor,False
2019-05-27,2019-05-27,2019-06-26,33437,2103,10,0.7044829646501838,0.702930492882424,0.0015524717677597444,True,False,True,floor,False
2019-06-26,2019-06-26,2019-07-26,35540,1656,10,0.7410388581501655,0.7071074282955321,0.03393142985463338,True,False,True,floor,False
2019-07-26,2019-07-26,2019-08-25,37196,1387,9,0.6690237956937872,0.7100120673000511,-0.04098827160626384,True,False,True,floor,False
2019-08-25,2019-08-25,2019-09-24,38583,1463,9,0.8431498985402717,0.7048485394980455,0.13830135904222618,False,False,False,,False
2019-09-24,2019-09-24,2019-10-24,40046,2813,10,0.7669974976638769,0.7510708507947413,0.015926646869135586,False,False,False,,False
2019-10-24,2019-10-24,2019-11-23,42859,5221,9,0.7956960123810108,0.7597237306326452,0.03597228174836564,False,False,False,,False
2019-11-23,2019-11-23,2019-12-23,48080,858,10,0.7825310775977123,0.8019478028617198,-0.019416725264007506,False,False,False,,False
